Dataset,Method,Scenario,Sensitive_Features_Used,Run,IDI_Ratio,Time_Seconds
ADULT,Random Search,Single,gender,17,0.101,64.72778296470642
ADULT,Random Search,Single,gender,18,0.099,64.84340310096741
ADULT,Random Search,Single,gender,19,0.103,64.9654278755188
ADULT,Random Search,Single,gender,20,0.117,64.87511086463928
ADULT,Random Search,Single,gender,21,0.128,65.15385699272156
ADULT,Random Search,Single,gender,22,0.114,64.81893563270569
ADULT,Random Search,Single,gender,23,0.121,64.82465100288391
ADULT,Random Search,Single,gender,24,0.128,64.59784007072449
ADULT,Random Search,Single,gender,25,0.121,64.67489409446716
ADULT,Random Search,Single,gender,26,0.119,64.61195802688599
ADULT,Random Search,Single,gender,27,0.108,64.46263718605042
ADULT,Random Search,Single,gender,28,0.123,64.25182271003723
ADULT,Random Search,Single,gender,29,0.121,65.12813210487366
ADULT,Random Search,Single,gender,30,0.114,64.6999843120575
ADULT,GA+Local Search,Single,gender,1,0.18,63.85450315475464
ADULT,GA+Local Search,Single,gender,2,0.208,64.24621415138245
ADULT,GA+Local Search,Single,gender,3,0.179,64.46999001502991
ADULT,GA+Local Search,Single,gender,4,0.181,64.54640889167786
ADULT,GA+Local Search,Single,gender,5,0.166,64.94129800796509
ADULT,GA+Local Search,Single,gender,6,0.18,64.01607394218445
ADULT,GA+Local Search,Single,gender,7,0.173,64.16813588142395
ADULT,GA+Local Search,Single,gender,8,0.174,63.9781391620636
ADULT,GA+Local Search,Single,gender,9,0.188,66.64091968536377
ADULT,GA+Local Search,Single,gender,10,0.163,64.1091730594635
ADULT,GA+Local Search,Single,gender,11,0.197,67.69687700271606
ADULT,GA+Local Search,Single,gender,12,0.165,64.27504014968872
ADULT,GA+Local Search,Single,gender,13,0.19,64.80351901054382
ADULT,GA+Local Search,Single,gender,14,0.154,63.92975902557373
ADULT,GA+Local Search,Single,gender,15,0.167,64.58419299125671
ADULT,GA+Local Search,Single,gender,16,0.144,64.73553681373596
ADULT,GA+Local Search,Single,gender,17,0.185,64.46394109725952
ADULT,GA+Local Search,Single,gender,18,0.173,64.73700499534607
ADULT,GA+Local Search,Single,gender,19,0.202,64.89743709564209
ADULT,GA+Local Search,Single,gender,20,0.18,64.66924595832825
ADULT,GA+Local Search,Single,gender,21,0.175,64.07765412330627
ADULT,GA+Local Search,Single,gender,22,0.2,63.58534502983093
ADULT,GA+Local Search,Single,gender,23,0.183,63.705804109573364
ADULT,GA+Local Search,Single,gender,24,0.165,63.436445236206055
ADULT,GA+Local Search,Single,gender,25,0.183,63.85032796859741
ADULT,GA+Local Search,Single,gender,26,0.165,63.637311935424805
ADULT,GA+Local Search,Single,gender,27,0.185,63.91906404495239
ADULT,GA+Local Search,Single,gender,28,0.193,63.38394117355347
ADULT,GA+Local Search,Single,gender,29,0.189,63.28075194358826
ADULT,GA+Local Search,Single,gender,30,0.166,63.72647786140442
ADULT,Random Search,Single,race,1,0.083,64.07741403579712
ADULT,Random Search,Single,race,2,0.078,64.53452920913696
ADULT,Random Search,Single,race,3,0.079,64.06193280220032
ADULT,Random Search,Single,race,4,0.089,64.61556887626648
ADULT,Random Search,Single,race,5,0.095,64.27685379981995
ADULT,Random Search,Single,race,6,0.078,68.03303790092468
ADULT,Random Search,Single,race,7,0.091,64.62268900871277
ADULT,Random Search,Single,race,8,0.092,64.56281018257141
ADULT,Random Search,Single,race,9,0.079,64.66032600402832
ADULT,Random Search,Single,race,10,0.086,64.41563487052917
ADULT,Random Search,Single,race,11,0.083,64.09503817558289
ADULT,Random Search,Single,race,12,0.086,64.57572412490845
ADULT,Random Search,Single,race,13,0.08,64.75132989883423
ADULT,Random Search,Single,race,14,0.095,63.861019134521484
ADULT,Random Search,Single,race,15,0.096,64.71944785118103
ADULT,Random Search,Single,race,16,0.085,64.2128677368164
ADULT,Random Search,Single,race,17,0.079,64.12904238700867
ADULT,Random Search,Single,race,18,0.083,64.01918315887451
ADULT,Random Search,Single,race,19,0.081,64.02032899856567
ADULT,Random Search,Single,race,20,0.066,64.73948621749878
ADULT,Random Search,Single,race,21,0.081,64.22547197341919
ADULT,Random Search,Single,race,22,0.09,64.32217979431152
ADULT,Random Search,Single,race,23,0.077,64.05732083320618
ADULT,Random Search,Single,race,24,0.073,64.15207099914551
ADULT,Random Search,Single,race,25,0.079,64.4392261505127
ADULT,Random Search,Single,race,26,0.078,64.30289697647095
ADULT,Random Search,Single,race,27,0.084,64.28251099586487
ADULT,Random Search,Single,race,28,0.089,65.0871651172638
ADULT,Random Search,Single,race,29,0.076,64.78968501091003
ADULT,Random Search,Single,race,30,0.095,64.3318042755127
ADULT,GA+Local Search,Single,race,1,0.195,64.1051287651062
ADULT,GA+Local Search,Single,race,2,0.236,63.60790824890137
ADULT,GA+Local Search,Single,race,3,0.171,63.40765738487244
ADULT,GA+Local Search,Single,race,4,0.191,63.46641683578491
ADULT,GA+Local Search,Single,race,5,0.168,63.66275405883789
ADULT,GA+Local Search,Single,race,6,0.215,63.56689381599426
ADULT,GA+Local Search,Single,race,7,0.213,63.765021085739136
ADULT,GA+Local Search,Single,race,8,0.212,63.26945996284485
ADULT,GA+Local Search,Single,race,9,0.196,63.796926975250244
ADULT,GA+Local Search,Single,race,10,0.213,63.73216199874878
ADULT,GA+Local Search,Single,race,11,0.218,64.0097267627716
ADULT,GA+Local Search,Single,race,12,0.19,63.64851999282837
ADULT,GA+Local Search,Single,race,13,0.214,64.06967091560364
ADULT,GA+Local Search,Single,race,14,0.173,63.89838624000549
ADULT,GA+Local Search,Single,race,15,0.222,64.0111072063446
ADULT,GA+Local Search,Single,race,16,0.201,64.24743819236755
ADULT,GA+Local Search,Single,race,17,0.222,63.68640613555908
ADULT,GA+Local Search,Single,race,18,0.18,63.746379137039185
ADULT,GA+Local Search,Single,race,19,0.221,63.91797113418579
ADULT,GA+Local Search,Single,race,20,0.201,64.00290417671204
ADULT,GA+Local Search,Single,race,21,0.23,64.02612113952637
ADULT,GA+Local Search,Single,race,22,0.208,64.04523491859436
ADULT,GA+Local Search,Single,race,23,0.203,63.69734787940979
ADULT,GA+Local Search,Single,race,24,0.21,63.707695960998535
ADULT,GA+Local Search,Single,race,25,0.211,63.79108476638794
ADULT,GA+Local Search,Single,race,26,0.201,63.497251987457275
ADULT,GA+Local Search,Single,race,27,0.19,63.81251502037048
ADULT,GA+Local Search,Single,race,28,0.191,63.44528365135193
ADULT,GA+Local Search,Single,race,29,0.211,63.91931915283203
ADULT,GA+Local Search,Single,race,30,0.201,61.848491191864014
ADULT,Random Search,Single,age,1,0.426,53.94381904602051
ADULT,Random Search,Single,age,2,0.382,40.260189056396484
ADULT,Random Search,Single,age,3,0.384,39.46914100646973
ADULT,Random Search,Single,age,4,0.385,38.96761608123779
ADULT,Random Search,Single,age,5,0.345,37.499359130859375
ADULT,Random Search,Single,age,6,0.409,37.43210196495056
ADULT,Random Search,Single,age,7,0.404,37.51377320289612
ADULT,Random Search,Single,age,8,0.366,37.32121515274048
ADULT,Random Search,Single,age,9,0.355,37.4982488155365
ADULT,Random Search,Single,age,10,0.375,37.517486810684204
ADULT,Random Search,Single,age,11,0.371,37.50665593147278
ADULT,Random Search,Single,age,12,0.375,37.39562010765076
ADULT,Random Search,Single,age,13,0.377,37.71897101402283
ADULT,Random Search,Single,age,14,0.383,37.640002965927124
ADULT,Random Search,Single,age,15,0.379,37.52177405357361
ADULT,Random Search,Single,age,16,0.387,37.655041217803955
ADULT,Random Search,Single,age,17,0.399,37.51953196525574
ADULT,Random Search,Single,age,18,0.388,37.48234009742737
ADULT,Random Search,Single,age,19,0.387,37.81665778160095
ADULT,Random Search,Single,age,20,0.366,37.754316091537476
ADULT,Random Search,Single,age,21,0.355,37.60737895965576
ADULT,Random Search,Single,age,22,0.38,37.57631206512451
ADULT,Random Search,Single,age,23,0.38,37.650294065475464
ADULT,Random Search,Single,age,24,0.357,37.63542819023132
ADULT,Random Search,Single,age,25,0.373,37.60865807533264
ADULT,Random Search,Single,age,26,0.367,37.67288398742676
ADULT,Random Search,Single,age,27,0.375,37.63434600830078
ADULT,Random Search,Single,age,28,0.398,37.72820568084717
ADULT,Random Search,Single,age,29,0.371,37.79771709442139
ADULT,Random Search,Single,age,30,0.364,37.58967089653015
ADULT,GA+Local Search,Single,age,1,0.496,37.40717005729675
ADULT,GA+Local Search,Single,age,2,0.517,38.616578102111816
ADULT,GA+Local Search,Single,age,3,0.536,38.435402631759644
ADULT,GA+Local Search,Single,age,4,0.507,38.830474853515625
ADULT,GA+Local Search,Single,age,5,0.52,38.260793924331665
ADULT,GA+Local Search,Single,age,6,0.512,38.10954713821411
ADULT,GA+Local Search,Single,age,7,0.49,37.186312198638916
ADULT,GA+Local Search,Single,age,8,0.525,37.32351899147034
ADULT,GA+Local Search,Single,age,9,0.509,37.27708888053894
ADULT,GA+Local Search,Single,age,10,0.516,37.21028470993042
ADULT,GA+Local Search,Single,age,11,0.491,37.487882137298584
ADULT,GA+Local Search,Single,age,12,0.526,37.31522297859192
ADULT,GA+Local Search,Single,age,13,0.544,37.6139190196991
ADULT,GA+Local Search,Single,age,14,0.494,36.90276598930359
ADULT,GA+Local Search,Single,age,15,0.542,37.56073212623596
ADULT,GA+Local Search,Single,age,16,0.518,37.08579206466675
ADULT,GA+Local Search,Single,age,17,0.54,37.325387716293335
ADULT,GA+Local Search,Single,age,18,0.531,37.20198178291321
ADULT,GA+Local Search,Single,age,19,0.515,37.443604946136475
ADULT,GA+Local Search,Single,age,20,0.499,37.55185294151306
ADULT,GA+Local Search,Single,age,21,0.516,37.214186906814575
ADULT,GA+Local Search,Single,age,22,0.486,37.613816022872925
ADULT,GA+Local Search,Single,age,23,0.522,37.081866979599
ADULT,GA+Local Search,Single,age,24,0.554,37.60750389099121
ADULT,GA+Local Search,Single,age,25,0.528,37.2297089099884
ADULT,GA+Local Search,Single,age,26,0.519,37.55124497413635
ADULT,GA+Local Search,Single,age,27,0.521,37.26911473274231
ADULT,GA+Local Search,Single,age,28,0.507,37.52115297317505
ADULT,GA+Local Search,Single,age,29,0.521,37.50252628326416
ADULT,GA+Local Search,Single,age,30,0.523,37.20925688743591
COMPAS,Random Search,Combined,"Sex, Race",1,0.06,61.45058798789978
COMPAS,Random Search,Combined,"Sex, Race",2,0.051,62.5060601234436
COMPAS,Random Search,Combined,"Sex, Race",3,0.055,61.8762640953064
COMPAS,Random Search,Combined,"Sex, Race",4,0.062,61.552494764328
COMPAS,Random Search,Combined,"Sex, Race",5,0.049,61.60345911979675
COMPAS,Random Search,Combined,"Sex, Race",6,0.061,61.84554386138916
COMPAS,Random Search,Combined,"Sex, Race",7,0.063,61.47025275230408
COMPAS,Random Search,Combined,"Sex, Race",8,0.057,61.47074508666992
COMPAS,Random Search,Combined,"Sex, Race",9,0.046,62.39613699913025
COMPAS,Random Search,Combined,"Sex, Race",10,0.064,62.393324851989746
COMPAS,Random Search,Combined,"Sex, Race",11,0.05,62.555505990982056
COMPAS,Random Search,Combined,"Sex, Race",12,0.056,62.59353685379028
COMPAS,Random Search,Combined,"Sex, Race",13,0.055,63.07987093925476
COMPAS,Random Search,Combined,"Sex, Race",14,0.067,63.525898933410645
COMPAS,Random Search,Combined,"Sex, Race",15,0.065,62.877443075180054
COMPAS,Random Search,Combined,"Sex, Race",16,0.068,62.76452088356018
COMPAS,Random Search,Combined,"Sex, Race",17,0.065,63.29271483421326
COMPAS,Random Search,Combined,"Sex, Race",18,0.069,62.94600296020508
COMPAS,Random Search,Combined,"Sex, Race",19,0.064,66.26339268684387
COMPAS,Random Search,Combined,"Sex, Race",20,0.063,64.51126503944397
COMPAS,Random Search,Combined,"Sex, Race",21,0.072,63.11274600028992
COMPAS,Random Search,Combined,"Sex, Race",22,0.059,64.2176399230957
COMPAS,Random Search,Combined,"Sex, Race",23,0.045,63.18781614303589
COMPAS,Random Search,Combined,"Sex, Race",24,0.056,63.305659770965576
COMPAS,Random Search,Combined,"Sex, Race",25,0.071,63.13399600982666
COMPAS,Random Search,Combined,"Sex, Race",26,0.059,63.469870805740356
COMPAS,Random Search,Combined,"Sex, Race",27,0.063,65.48914909362793
COMPAS,Random Search,Combined,"Sex, Race",28,0.049,64.90084290504456
COMPAS,Random Search,Combined,"Sex, Race",29,0.054,65.75062131881714
COMPAS,Random Search,Combined,"Sex, Race",30,0.066,64.52782392501831
COMPAS,GA+Local Search,Combined,"Sex, Race",1,0.18,64.40812110900879
COMPAS,GA+Local Search,Combined,"Sex, Race",2,0.148,63.8581759929657
COMPAS,GA+Local Search,Combined,"Sex, Race",3,0.144,63.92770791053772
COMPAS,GA+Local Search,Combined,"Sex, Race",4,0.174,64.07070589065552
COMPAS,GA+Local Search,Combined,"Sex, Race",5,0.142,64.53098702430725
COMPAS,GA+Local Search,Combined,"Sex, Race",6,0.146,64.01182794570923
COMPAS,GA+Local Search,Combined,"Sex, Race",7,0.154,63.546181201934814
COMPAS,GA+Local Search,Combined,"Sex, Race",8,0.156,64.33755397796631
COMPAS,GA+Local Search,Combined,"Sex, Race",9,0.157,63.997957944869995
COMPAS,GA+Local Search,Combined,"Sex, Race",10,0.167,64.51653409004211
COMPAS,GA+Local Search,Combined,"Sex, Race",11,0.181,63.662312269210815
COMPAS,GA+Local Search,Combined,"Sex, Race",12,0.132,66.21547389030457
COMPAS,GA+Local Search,Combined,"Sex, Race",13,0.163,62.96191096305847
COMPAS,GA+Local Search,Combined,"Sex, Race",14,0.14,62.953861951828
COMPAS,GA+Local Search,Combined,"Sex, Race",15,0.152,63.23138999938965
COMPAS,GA+Local Search,Combined,"Sex, Race",16,0.175,62.8967170715332
COMPAS,GA+Local Search,Combined,"Sex, Race",17,0.126,63.47252702713013
COMPAS,GA+Local Search,Combined,"Sex, Race",18,0.138,64.04893803596497
COMPAS,GA+Local Search,Combined,"Sex, Race",19,0.185,65.08717703819275
COMPAS,GA+Local Search,Combined,"Sex, Race",20,0.163,64.04672312736511
COMPAS,GA+Local Search,Combined,"Sex, Race",21,0.141,64.11374068260193
COMPAS,GA+Local Search,Combined,"Sex, Race",22,0.148,64.00491380691528
COMPAS,GA+Local Search,Combined,"Sex, Race",23,0.175,64.32839393615723
COMPAS,GA+Local Search,Combined,"Sex, Race",24,0.187,64.65064406394958
COMPAS,GA+Local Search,Combined,"Sex, Race",25,0.117,64.16627407073975
COMPAS,GA+Local Search,Combined,"Sex, Race",26,0.136,64.70551800727844
COMPAS,GA+Local Search,Combined,"Sex, Race",27,0.203,63.11381793022156
COMPAS,GA+Local Search,Combined,"Sex, Race",28,0.177,63.16936802864075
COMPAS,GA+Local Search,Combined,"Sex, Race",29,0.131,63.18542814254761
COMPAS,GA+Local Search,Combined,"Sex, Race",30,0.182,62.94082307815552
COMPAS,Random Search,Single,Sex,1,0.014,65.87791895866394
COMPAS,Random Search,Single,Sex,2,0.019,65.52783584594727
COMPAS,Random Search,Single,Sex,3,0.009,64.4948000907898
COMPAS,Random Search,Single,Sex,4,0.012,64.89379477500916
COMPAS,Random Search,Single,Sex,5,0.015,66.37948703765869
COMPAS,Random Search,Single,Sex,6,0.014,64.97314095497131
COMPAS,Random Search,Single,Sex,7,0.01,65.20301914215088
COMPAS,Random Search,Single,Sex,8,0.011,65.34672403335571
COMPAS,Random Search,Single,Sex,9,0.02,65.23266983032227
COMPAS,Random Search,Single,Sex,10,0.015,65.08239507675171
