Dataset,Method,Scenario,Sensitive_Features_Used,Run,IDI_Ratio,Time_Seconds
COMPAS,GA+Local Search,Single,Race,25,0.058,63.533955097198486
COMPAS,GA+Local Search,Single,Race,26,0.065,63.756407022476196
COMPAS,GA+Local Search,Single,Race,27,0.081,63.75770378112793
COMPAS,GA+Local Search,Single,Race,28,0.121,63.82229208946228
COMPAS,GA+Local Search,Single,Race,29,0.085,63.92120909690857
COMPAS,GA+Local Search,Single,Race,30,0.078,62.39689302444458
LAW SCHOOL,Random Search,Combined,"male, race",1,0.0,61.8347430229187
LAW SCHOOL,Random Search,Combined,"male, race",2,0.0,62.45743489265442
LAW SCHOOL,Random Search,Combined,"male, race",3,0.0,61.46100211143494
LAW SCHOOL,Random Search,Combined,"male, race",4,0.0,62.12525796890259
LAW SCHOOL,Random Search,Combined,"male, race",5,0.001,61.55375409126282
LAW SCHOOL,Random Search,Combined,"male, race",6,0.0,62.76061201095581
LAW SCHOOL,Random Search,Combined,"male, race",7,0.0,62.21575212478638
LAW SCHOOL,Random Search,Combined,"male, race",8,0.0,62.175079107284546
LAW SCHOOL,Random Search,Combined,"male, race",9,0.0,62.534461975097656
LAW SCHOOL,Random Search,Combined,"male, race",10,0.001,62.85883688926697
LAW SCHOOL,Random Search,Combined,"male, race",11,0.0,63.08206605911255
LAW SCHOOL,Random Search,Combined,"male, race",12,0.0,63.47975301742554
LAW SCHOOL,Random Search,Combined,"male, race",13,0.0,62.92085886001587
LAW SCHOOL,Random Search,Combined,"male, race",14,0.0,63.79072690010071
LAW SCHOOL,Random Search,Combined,"male, race",15,0.0,62.68155908584595
LAW SCHOOL,Random Search,Combined,"male, race",16,0.0,62.8248291015625
LAW SCHOOL,Random Search,Combined,"male, race",17,0.0,63.61110711097717
LAW SCHOOL,Random Search,Combined,"male, race",18,0.0,63.217467069625854
LAW SCHOOL,Random Search,Combined,"male, race",19,0.001,66.72105288505554
LAW SCHOOL,Random Search,Combined,"male, race",20,0.0,64.07833409309387
LAW SCHOOL,Random Search,Combined,"male, race",21,0.0,63.9352490901947
LAW SCHOOL,Random Search,Combined,"male, race",22,0.0,64.03804588317871
LAW SCHOOL,Random Search,Combined,"male, race",23,0.0,63.72080111503601
LAW SCHOOL,Random Search,Combined,"male, race",24,0.0,63.80076193809509
LAW SCHOOL,Random Search,Combined,"male, race",25,0.0,63.563722133636475
LAW SCHOOL,Random Search,Combined,"male, race",26,0.0,64.6307270526886
LAW SCHOOL,Random Search,Combined,"male, race",27,0.001,65.70286703109741
LAW SCHOOL,Random Search,Combined,"male, race",28,0.001,65.16981482505798
LAW SCHOOL,Random Search,Combined,"male, race",29,0.0,65.58756589889526
LAW SCHOOL,Random Search,Combined,"male, race",30,0.0,64.52561902999878
LAW SCHOOL,GA+Local Search,Combined,"male, race",1,0.0,64.07191014289856
LAW SCHOOL,GA+Local Search,Combined,"male, race",2,0.0,64.04249382019043
LAW SCHOOL,GA+Local Search,Combined,"male, race",3,0.0,64.52014708518982
LAW SCHOOL,GA+Local Search,Combined,"male, race",4,0.0,64.41392993927002
LAW SCHOOL,GA+Local Search,Combined,"male, race",5,0.001,64.40947985649109
LAW SCHOOL,GA+Local Search,Combined,"male, race",6,0.0,64.41803693771362
LAW SCHOOL,GA+Local Search,Combined,"male, race",7,0.0,64.35932183265686
LAW SCHOOL,GA+Local Search,Combined,"male, race",8,0.0,65.34694623947144
LAW SCHOOL,GA+Local Search,Combined,"male, race",9,0.001,64.64067912101746
LAW SCHOOL,GA+Local Search,Combined,"male, race",10,0.146,65.07166814804077
LAW SCHOOL,GA+Local Search,Combined,"male, race",11,0.0,64.90252876281738
LAW SCHOOL,GA+Local Search,Combined,"male, race",12,0.0,65.92322373390198
LAW SCHOOL,GA+Local Search,Combined,"male, race",13,0.0,63.577179193496704
LAW SCHOOL,GA+Local Search,Combined,"male, race",14,0.0,63.66400170326233
LAW SCHOOL,GA+Local Search,Combined,"male, race",15,0.0,63.4571430683136
LAW SCHOOL,GA+Local Search,Combined,"male, race",16,0.0,63.768391847610474
LAW SCHOOL,GA+Local Search,Combined,"male, race",17,0.115,63.23988604545593
LAW SCHOOL,GA+Local Search,Combined,"male, race",18,0.0,65.0569679737091
LAW SCHOOL,GA+Local Search,Combined,"male, race",19,0.0,65.13156294822693
LAW SCHOOL,GA+Local Search,Combined,"male, race",20,0.0,64.93524408340454
LAW SCHOOL,GA+Local Search,Combined,"male, race",21,0.0,64.55903601646423
LAW SCHOOL,GA+Local Search,Combined,"male, race",22,0.0,64.66816997528076
LAW SCHOOL,GA+Local Search,Combined,"male, race",23,0.0,65.25858306884766
LAW SCHOOL,GA+Local Search,Combined,"male, race",24,0.0,64.83541584014893
LAW SCHOOL,GA+Local Search,Combined,"male, race",25,0.001,64.86657381057739
LAW SCHOOL,GA+Local Search,Combined,"male, race",26,0.0,64.24971294403076
LAW SCHOOL,GA+Local Search,Combined,"male, race",27,0.142,64.03839492797852
LAW SCHOOL,GA+Local Search,Combined,"male, race",28,0.084,63.95760917663574
LAW SCHOOL,GA+Local Search,Combined,"male, race",29,0.0,63.3541522026062
LAW SCHOOL,GA+Local Search,Combined,"male, race",30,0.0,63.70371890068054
LAW SCHOOL,Random Search,Single,male,1,0.0,68.04836678504944
LAW SCHOOL,Random Search,Single,male,2,0.0,65.20321893692017
LAW SCHOOL,Random Search,Single,male,3,0.0,65.40332412719727
LAW SCHOOL,Random Search,Single,male,4,0.0,65.68928599357605
LAW SCHOOL,Random Search,Single,male,5,0.0,66.32155799865723
LAW SCHOOL,Random Search,Single,male,6,0.0,65.17257976531982
LAW SCHOOL,Random Search,Single,male,7,0.0,65.4250111579895
LAW SCHOOL,Random Search,Single,male,8,0.0,65.23723793029785
LAW SCHOOL,Random Search,Single,male,9,0.0,65.3291368484497
LAW SCHOOL,Random Search,Single,male,10,0.0,65.04731893539429
LAW SCHOOL,Random Search,Single,male,11,0.0,65.48236274719238
LAW SCHOOL,Random Search,Single,male,12,0.0,65.67081379890442
LAW SCHOOL,Random Search,Single,male,13,0.0,65.65318489074707
LAW SCHOOL,Random Search,Single,male,14,0.0,66.31595802307129
LAW SCHOOL,Random Search,Single,male,15,0.0,65.75901794433594
LAW SCHOOL,Random Search,Single,male,16,0.0,65.45101308822632
LAW SCHOOL,Random Search,Single,male,17,0.0,65.58373689651489
LAW SCHOOL,Random Search,Single,male,18,0.0,65.32426071166992
LAW SCHOOL,Random Search,Single,male,19,0.0,65.20553994178772
LAW SCHOOL,Random Search,Single,male,20,0.0,65.525710105896
LAW SCHOOL,Random Search,Single,male,21,0.0,64.72134232521057
LAW SCHOOL,Random Search,Single,male,22,0.0,65.28924489021301
LAW SCHOOL,Random Search,Single,male,23,0.0,65.12531208992004
LAW SCHOOL,Random Search,Single,male,24,0.0,64.7918930053711
LAW SCHOOL,Random Search,Single,male,25,0.0,65.18459486961365
LAW SCHOOL,Random Search,Single,male,26,0.0,65.43091082572937
LAW SCHOOL,Random Search,Single,male,27,0.0,65.67675280570984
LAW SCHOOL,Random Search,Single,male,28,0.0,65.95093202590942
LAW SCHOOL,Random Search,Single,male,29,0.0,65.70286297798157
LAW SCHOOL,Random Search,Single,male,30,0.0,65.23469424247742
LAW SCHOOL,GA+Local Search,Single,male,1,0.0,65.4077410697937
LAW SCHOOL,GA+Local Search,Single,male,2,0.0,64.97818398475647
LAW SCHOOL,GA+Local Search,Single,male,3,0.0,64.8178277015686
LAW SCHOOL,GA+Local Search,Single,male,4,0.0,66.13280296325684
LAW SCHOOL,GA+Local Search,Single,male,5,0.0,64.7706458568573
LAW SCHOOL,GA+Local Search,Single,male,6,0.0,64.91149592399597
LAW SCHOOL,GA+Local Search,Single,male,7,0.0,64.89230799674988
LAW SCHOOL,GA+Local Search,Single,male,8,0.0,66.23303484916687
LAW SCHOOL,GA+Local Search,Single,male,9,0.0,66.07302594184875
LAW SCHOOL,GA+Local Search,Single,male,10,0.0,67.97089195251465
LAW SCHOOL,GA+Local Search,Single,male,11,0.0,65.28766393661499
LAW SCHOOL,GA+Local Search,Single,male,12,0.0,65.61508679389954
LAW SCHOOL,GA+Local Search,Single,male,13,0.0,65.58469867706299
LAW SCHOOL,GA+Local Search,Single,male,14,0.0,64.91628503799438
LAW SCHOOL,GA+Local Search,Single,male,15,0.0,65.10170388221741
LAW SCHOOL,GA+Local Search,Single,male,16,0.0,65.40769815444946
LAW SCHOOL,GA+Local Search,Single,male,17,0.0,65.06755590438843
LAW SCHOOL,GA+Local Search,Single,male,18,0.0,65.00659990310669
LAW SCHOOL,GA+Local Search,Single,male,19,0.0,65.5416898727417
LAW SCHOOL,GA+Local Search,Single,male,20,0.0,64.682697057724
LAW SCHOOL,GA+Local Search,Single,male,21,0.0,64.03755211830139
LAW SCHOOL,GA+Local Search,Single,male,22,0.0,64.01270508766174
LAW SCHOOL,GA+Local Search,Single,male,23,0.0,64.19551682472229
LAW SCHOOL,GA+Local Search,Single,male,24,0.0,64.16994833946228
LAW SCHOOL,GA+Local Search,Single,male,25,0.0,64.06695199012756
LAW SCHOOL,GA+Local Search,Single,male,26,0.0,63.61965537071228
LAW SCHOOL,GA+Local Search,Single,male,27,0.0,63.629417181015015
LAW SCHOOL,GA+Local Search,Single,male,28,0.0,64.07200217247009
LAW SCHOOL,GA+Local Search,Single,male,29,0.0,63.88793992996216
LAW SCHOOL,GA+Local Search,Single,male,30,0.0,64.19874501228333
LAW SCHOOL,Random Search,Single,race,1,0.0,64.65177083015442
LAW SCHOOL,Random Search,Single,race,2,0.0,64.60556697845459
LAW SCHOOL,Random Search,Single,race,3,0.0,64.94444704055786
LAW SCHOOL,Random Search,Single,race,4,0.001,64.68184494972229
LAW SCHOOL,Random Search,Single,race,5,0.0,68.206289768219
LAW SCHOOL,Random Search,Single,race,6,0.0,64.7687120437622
LAW SCHOOL,Random Search,Single,race,7,0.001,64.38862490653992
LAW SCHOOL,Random Search,Single,race,8,0.0,64.46667122840881
LAW SCHOOL,Random Search,Single,race,9,0.0,65.05730414390564
LAW SCHOOL,Random Search,Single,race,10,0.0,64.86694097518921
LAW SCHOOL,Random Search,Single,race,11,0.0,65.3409788608551
LAW SCHOOL,Random Search,Single,race,12,0.0,65.34396982192993
LAW SCHOOL,Random Search,Single,race,13,0.001,65.0420150756836
LAW SCHOOL,Random Search,Single,race,14,0.0,64.91072297096252
LAW SCHOOL,Random Search,Single,race,15,0.0,64.72327208518982
LAW SCHOOL,Random Search,Single,race,16,0.0,64.54895901679993
LAW SCHOOL,Random Search,Single,race,17,0.0,64.6888439655304
LAW SCHOOL,Random Search,Single,race,18,0.0,64.97763895988464
LAW SCHOOL,Random Search,Single,race,19,0.0,64.83127093315125
LAW SCHOOL,Random Search,Single,race,20,0.0,65.13409614562988
LAW SCHOOL,Random Search,Single,race,21,0.0,64.92643189430237
LAW SCHOOL,Random Search,Single,race,22,0.0,65.04627513885498
LAW SCHOOL,Random Search,Single,race,23,0.0,65.11296486854553
LAW SCHOOL,Random Search,Single,race,24,0.0,64.66366577148438
LAW SCHOOL,Random Search,Single,race,25,0.0,64.9195408821106
LAW SCHOOL,Random Search,Single,race,26,0.0,65.07615089416504
LAW SCHOOL,Random Search,Single,race,27,0.0,66.08667707443237
LAW SCHOOL,Random Search,Single,race,28,0.0,65.26594996452332
LAW SCHOOL,Random Search,Single,race,29,0.0,64.5478208065033
LAW SCHOOL,Random Search,Single,race,30,0.0,65.20739984512329
LAW SCHOOL,GA+Local Search,Single,race,1,0.0,64.52579402923584
LAW SCHOOL,GA+Local Search,Single,race,2,0.129,64.26198196411133
LAW SCHOOL,GA+Local Search,Single,race,3,0.0,63.9855580329895
LAW SCHOOL,GA+Local Search,Single,race,4,0.0,64.15376496315002
LAW SCHOOL,GA+Local Search,Single,race,5,0.0,64.05953788757324
LAW SCHOOL,GA+Local Search,Single,race,6,0.102,63.67841076850891
LAW SCHOOL,GA+Local Search,Single,race,7,0.0,64.2394790649414
LAW SCHOOL,GA+Local Search,Single,race,8,0.0,63.91414213180542
LAW SCHOOL,GA+Local Search,Single,race,9,0.0,64.38913321495056
LAW SCHOOL,GA+Local Search,Single,race,10,0.0,64.06463289260864
LAW SCHOOL,GA+Local Search,Single,race,11,0.0,64.28877806663513
LAW SCHOOL,GA+Local Search,Single,race,12,0.0,64.48169612884521
LAW SCHOOL,GA+Local Search,Single,race,13,0.097,64.04855108261108
LAW SCHOOL,GA+Local Search,Single,race,14,0.0,64.16446590423584
LAW SCHOOL,GA+Local Search,Single,race,15,0.0,64.30102181434631
LAW SCHOOL,GA+Local Search,Single,race,16,0.0,63.93767309188843
LAW SCHOOL,GA+Local Search,Single,race,17,0.0,64.11902284622192
LAW SCHOOL,GA+Local Search,Single,race,18,0.0,64.71055626869202
LAW SCHOOL,GA+Local Search,Single,race,19,0.0,64.70834708213806
LAW SCHOOL,GA+Local Search,Single,race,20,0.0,64.2679181098938
LAW SCHOOL,GA+Local Search,Single,race,21,0.0,64.43535280227661
LAW SCHOOL,GA+Local Search,Single,race,22,0.0,64.35507106781006
LAW SCHOOL,GA+Local Search,Single,race,23,0.0,64.49149513244629
LAW SCHOOL,GA+Local Search,Single,race,24,0.0,64.5994188785553
LAW SCHOOL,GA+Local Search,Single,race,25,0.0,64.29542231559753
LAW SCHOOL,GA+Local Search,Single,race,26,0.0,64.52988004684448
LAW SCHOOL,GA+Local Search,Single,race,27,0.0,64.25726509094238
LAW SCHOOL,GA+Local Search,Single,race,28,0.0,64.3985059261322
LAW SCHOOL,GA+Local Search,Single,race,29,0.0,59.75336503982544
LAW SCHOOL,GA+Local Search,Single,race,30,0.0,50.09007215499878
KDD,Random Search,Combined,"sex, race",1,0.038,63.890552043914795
KDD,Random Search,Combined,"sex, race",2,0.041,64.05919694900513
KDD,Random Search,Combined,"sex, race",3,0.041,63.69869112968445
KDD,Random Search,Combined,"sex, race",4,0.035,63.69067978858948
KDD,Random Search,Combined,"sex, race",5,0.031,63.712668895721436
KDD,Random Search,Combined,"sex, race",6,0.039,63.742717027664185
KDD,Random Search,Combined,"sex, race",7,0.036,64.18659210205078
KDD,Random Search,Combined,"sex, race",8,0.028,63.82037091255188
KDD,Random Search,Combined,"sex, race",9,0.035,65.056156873703
KDD,Random Search,Combined,"sex, race",10,0.036,65.08804988861084
KDD,Random Search,Combined,"sex, race",11,0.034,65.13000082969666
KDD,Random Search,Combined,"sex, race",12,0.035,65.50389003753662
KDD,Random Search,Combined,"sex, race",13,0.035,64.8321840763092
KDD,Random Search,Combined,"sex, race",14,0.028,65.56706428527832
KDD,Random Search,Combined,"sex, race",15,0.038,64.68586683273315
KDD,Random Search,Combined,"sex, race",16,0.037,65.52248096466064
KDD,Random Search,Combined,"sex, race",17,0.028,65.41769695281982
KDD,Random Search,Combined,"sex, race",18,0.043,66.15803217887878
KDD,Random Search,Combined,"sex, race",19,0.041,69.1243109703064
KDD,Random Search,Combined,"sex, race",20,0.033,65.42228817939758
KDD,Random Search,Combined,"sex, race",21,0.036,66.41522789001465
KDD,Random Search,Combined,"sex, race",22,0.033,65.34700226783752
KDD,Random Search,Combined,"sex, race",23,0.033,64.94008088111877
KDD,Random Search,Combined,"sex, race",24,0.029,64.95214223861694
KDD,Random Search,Combined,"sex, race",25,0.033,65.50093126296997
KDD,Random Search,Combined,"sex, race",26,0.035,68.18919491767883
KDD,Random Search,Combined,"sex, race",27,0.042,66.85695385932922
KDD,Random Search,Combined,"sex, race",28,0.028,67.41298270225525
KDD,Random Search,Combined,"sex, race",29,0.029,66.26669001579285
KDD,Random Search,Combined,"sex, race",30,0.022,66.29175019264221
KDD,GA+Local Search,Combined,"sex, race",1,0.184,64.54424595832825
KDD,GA+Local Search,Combined,"sex, race",2,0.152,64.37334418296814
KDD,GA+Local Search,Combined,"sex, race",3,0.181,64.71495699882507
KDD,GA+Local Search,Combined,"sex, race",4,0.234,64.41798710823059
KDD,GA+Local Search,Combined,"sex, race",5,0.224,64.6742000579834
KDD,GA+Local Search,Combined,"sex, race",6,0.208,64.40586709976196
KDD,GA+Local Search,Combined,"sex, race",7,0.163,65.3349859714508
KDD,GA+Local Search,Combined,"sex, race",8,0.161,64.72279977798462
KDD,GA+Local Search,Combined,"sex, race",9,0.206,64.70839500427246
KDD,GA+Local Search,Combined,"sex, race",10,0.163,63.830244064331055
KDD,GA+Local Search,Combined,"sex, race",11,0.182,65.82122802734375
KDD,GA+Local Search,Combined,"sex, race",12,0.184,63.685218811035156
KDD,GA+Local Search,Combined,"sex, race",13,0.194,63.06338834762573
KDD,GA+Local Search,Combined,"sex, race",14,0.175,63.748613119125366
KDD,GA+Local Search,Combined,"sex, race",15,0.18,63.73462200164795
KDD,GA+Local Search,Combined,"sex, race",16,0.186,64.40977883338928
KDD,GA+Local Search,Combined,"sex, race",17,0.143,64.5123541355133
KDD,GA+Local Search,Combined,"sex, race",18,0.17,64.45265412330627
KDD,GA+Local Search,Combined,"sex, race",19,0.2,64.29114699363708
KDD,GA+Local Search,Combined,"sex, race",20,0.183,64.40004801750183
KDD,GA+Local Search,Combined,"sex, race",21,0.155,64.93399405479431
KDD,GA+Local Search,Combined,"sex, race",22,0.208,64.63598275184631
KDD,GA+Local Search,Combined,"sex, race",23,0.21,65.10735893249512
KDD,GA+Local Search,Combined,"sex, race",24,0.179,64.53186583518982
KDD,GA+Local Search,Combined,"sex, race",25,0.175,64.56223106384277
KDD,GA+Local Search,Combined,"sex, race",26,0.207,64.35542798042297
KDD,GA+Local Search,Combined,"sex, race",27,0.227,63.47407793998718
KDD,GA+Local Search,Combined,"sex, race",28,0.175,63.84757208824158
KDD,GA+Local Search,Combined,"sex, race",29,0.177,63.111879110336304
KDD,GA+Local Search,Combined,"sex, race",30,0.207,67.42980599403381
KDD,Random Search,Single,sex,1,0.037,66.40735793113708
KDD,Random Search,Single,sex,2,0.037,66.45519399642944
KDD,Random Search,Single,sex,3,0.032,67.46970891952515
KDD,Random Search,Single,sex,4,0.027,68.4001841545105
KDD,Random Search,Single,sex,5,0.029,67.82973170280457
KDD,Random Search,Single,sex,6,0.038,68.248379945755
KDD,Random Search,Single,sex,7,0.027,67.577556848526
KDD,Random Search,Single,sex,8,0.037,68.08030986785889
KDD,Random Search,Single,sex,9,0.037,67.77043008804321
KDD,Random Search,Single,sex,10,0.039,67.81059288978577
KDD,Random Search,Single,sex,11,0.03,67.71972894668579
KDD,Random Search,Single,sex,12,0.036,68.05668997764587
KDD,Random Search,Single,sex,13,0.038,68.0878119468689
KDD,Random Search,Single,sex,14,0.034,67.70106506347656
KDD,Random Search,Single,sex,15,0.03,67.53034710884094
KDD,Random Search,Single,sex,16,0.033,67.96833515167236
KDD,Random Search,Single,sex,17,0.036,67.36653780937195
KDD,Random Search,Single,sex,18,0.03,67.7838499546051
KDD,Random Search,Single,sex,19,0.025,67.85372805595398
KDD,Random Search,Single,sex,20,0.042,67.58111596107483
KDD,Random Search,Single,sex,21,0.034,67.22730112075806
KDD,Random Search,Single,sex,22,0.034,67.00185894966125
KDD,Random Search,Single,sex,23,0.031,67.1620831489563
KDD,Random Search,Single,sex,24,0.043,67.07789897918701
KDD,Random Search,Single,sex,25,0.032,67.01539897918701
KDD,Random Search,Single,sex,26,0.033,67.07799196243286
KDD,Random Search,Single,sex,27,0.029,67.3688530921936
KDD,Random Search,Single,sex,28,0.031,66.88308596611023
KDD,Random Search,Single,sex,29,0.033,67.09339189529419
KDD,Random Search,Single,sex,30,0.034,66.89658689498901
KDD,GA+Local Search,Single,sex,1,0.165,64.67228317260742
KDD,GA+Local Search,Single,sex,2,0.182,65.65804815292358
KDD,GA+Local Search,Single,sex,3,0.154,64.96080684661865
KDD,GA+Local Search,Single,sex,4,0.173,64.9882218837738
KDD,GA+Local Search,Single,sex,5,0.157,64.69776105880737
KDD,GA+Local Search,Single,sex,6,0.154,64.39849615097046
KDD,GA+Local Search,Single,sex,7,0.146,67.2469072341919
KDD,GA+Local Search,Single,sex,8,0.147,67.33150100708008
KDD,GA+Local Search,Single,sex,9,0.167,65.0068461894989
KDD,GA+Local Search,Single,sex,10,0.157,64.54636597633362
KDD,GA+Local Search,Single,sex,11,0.149,65.55737280845642
KDD,GA+Local Search,Single,sex,12,0.146,64.5128710269928
KDD,GA+Local Search,Single,sex,13,0.138,65.31640291213989
KDD,GA+Local Search,Single,sex,14,0.184,64.995521068573
KDD,GA+Local Search,Single,sex,15,0.173,65.05541706085205
KDD,GA+Local Search,Single,sex,16,0.145,64.97792196273804
KDD,GA+Local Search,Single,sex,17,0.158,64.6802270412445
KDD,GA+Local Search,Single,sex,18,0.161,64.95862984657288
KDD,GA+Local Search,Single,sex,19,0.158,63.682555198669434
KDD,GA+Local Search,Single,sex,20,0.168,63.588781118392944
KDD,GA+Local Search,Single,sex,21,0.146,63.900866985321045
KDD,GA+Local Search,Single,sex,22,0.176,64.09866213798523
KDD,GA+Local Search,Single,sex,23,0.149,63.69975399971008
KDD,GA+Local Search,Single,sex,24,0.133,63.65030097961426
KDD,GA+Local Search,Single,sex,25,0.151,64.04002785682678
KDD,GA+Local Search,Single,sex,26,0.142,63.33371186256409
KDD,GA+Local Search,Single,sex,27,0.186,64.06670117378235
KDD,GA+Local Search,Single,sex,28,0.172,63.82326006889343
KDD,GA+Local Search,Single,sex,29,0.155,64.14001989364624
KDD,GA+Local Search,Single,sex,30,0.138,63.67871809005737
KDD,Random Search,Single,race,1,0.0,65.62111115455627
KDD,Random Search,Single,race,2,0.0,66.55334806442261
KDD,Random Search,Single,race,3,0.0,70.410719871521
KDD,Random Search,Single,race,4,0.001,67.1987452507019
KDD,Random Search,Single,race,5,0.001,66.69745111465454
KDD,Random Search,Single,race,6,0.0,66.83140683174133
KDD,Random Search,Single,race,7,0.0,66.52491903305054
KDD,Random Search,Single,race,8,0.0,66.89592432975769
KDD,Random Search,Single,race,9,0.0,67.32877016067505
KDD,Random Search,Single,race,10,0.001,66.9749231338501
KDD,Random Search,Single,race,11,0.0,66.71620512008667
KDD,Random Search,Single,race,12,0.001,66.60872864723206
KDD,Random Search,Single,race,13,0.002,67.30141305923462
KDD,Random Search,Single,race,14,0.0,66.87797284126282
KDD,Random Search,Single,race,15,0.001,66.64329600334167
KDD,Random Search,Single,race,16,0.002,66.4666121006012
KDD,Random Search,Single,race,17,0.001,66.91086792945862
KDD,Random Search,Single,race,18,0.0,66.81344985961914
KDD,Random Search,Single,race,19,0.0,66.81254386901855
KDD,Random Search,Single,race,20,0.001,67.00022101402283
KDD,Random Search,Single,race,21,0.001,66.45198488235474
KDD,Random Search,Single,race,22,0.0,66.78516817092896
KDD,Random Search,Single,race,23,0.0,66.4884421825409
KDD,Random Search,Single,race,24,0.0,66.5874969959259
KDD,Random Search,Single,race,25,0.001,67.26340889930725
KDD,Random Search,Single,race,26,0.0,66.36299896240234
KDD,Random Search,Single,race,27,0.001,66.93424987792969
KDD,Random Search,Single,race,28,0.0,66.04942679405212
KDD,Random Search,Single,race,29,0.0,66.15402221679688
KDD,Random Search,Single,race,30,0.002,66.32309126853943
KDD,GA+Local Search,Single,race,1,0.004,63.668936252593994
KDD,GA+Local Search,Single,race,2,0.004,64.13743424415588
KDD,GA+Local Search,Single,race,3,0.006,64.01439595222473
KDD,GA+Local Search,Single,race,4,0.009,63.967283964157104
KDD,GA+Local Search,Single,race,5,0.007,64.1866717338562
KDD,GA+Local Search,Single,race,6,0.003,64.088858127594
KDD,GA+Local Search,Single,race,7,0.009,63.635308027267456
KDD,GA+Local Search,Single,race,8,0.007,63.603435039520264
KDD,GA+Local Search,Single,race,9,0.004,63.78503203392029
KDD,GA+Local Search,Single,race,10,0.005,63.88180875778198
KDD,GA+Local Search,Single,race,11,0.01,64.09714078903198
KDD,GA+Local Search,Single,race,12,0.004,64.14250898361206
KDD,GA+Local Search,Single,race,13,0.007,64.10546207427979
KDD,GA+Local Search,Single,race,14,0.008,63.80120587348938
KDD,GA+Local Search,Single,race,15,0.011,64.29212808609009
KDD,GA+Local Search,Single,race,16,0.01,63.693645000457764
KDD,GA+Local Search,Single,race,17,0.0,64.37254500389099
KDD,GA+Local Search,Single,race,18,0.0,64.7770688533783
KDD,GA+Local Search,Single,race,19,0.014,64.17643189430237
KDD,GA+Local Search,Single,race,20,0.009,64.04517817497253
KDD,GA+Local Search,Single,race,21,0.01,63.88357090950012
KDD,GA+Local Search,Single,race,22,0.012,64.11473298072815
KDD,GA+Local Search,Single,race,23,0.011,63.945579051971436
KDD,GA+Local Search,Single,race,24,0.005,63.95854306221008
KDD,GA+Local Search,Single,race,25,0.001,64.51556396484375
KDD,GA+Local Search,Single,race,26,0.011,63.66058301925659
KDD,GA+Local Search,Single,race,27,0.0,55.82070302963257
KDD,GA+Local Search,Single,race,28,0.01,43.79519486427307
KDD,GA+Local Search,Single,race,29,0.004,39.35729002952576
KDD,GA+Local Search,Single,race,30,0.004,39.70302605628967
DUTCH,Random Search,Combined,"sex, age",1,0.015,61.19836902618408
DUTCH,Random Search,Combined,"sex, age",2,0.015,62.50679016113281
DUTCH,Random Search,Combined,"sex, age",3,0.014,61.62026596069336
DUTCH,Random Search,Combined,"sex, age",4,0.013,61.6173141002655
DUTCH,Random Search,Combined,"sex, age",5,0.016,61.56427311897278
DUTCH,Random Search,Combined,"sex, age",6,0.012,62.04504585266113
DUTCH,Random Search,Combined,"sex, age",7,0.014,62.1126389503479
DUTCH,Random Search,Combined,"sex, age",8,0.02,61.68392491340637
DUTCH,Random Search,Combined,"sex, age",9,0.01,61.53310775756836
DUTCH,Random Search,Combined,"sex, age",10,0.013,62.620737075805664
DUTCH,Random Search,Combined,"sex, age",11,0.015,62.74634504318237
DUTCH,Random Search,Combined,"sex, age",12,0.019,62.89813685417175
DUTCH,Random Search,Combined,"sex, age",13,0.02,62.59213590621948
DUTCH,Random Search,Combined,"sex, age",14,0.016,63.37818908691406
DUTCH,Random Search,Combined,"sex, age",15,0.013,62.77039098739624
DUTCH,Random Search,Combined,"sex, age",16,0.019,63.01132082939148
DUTCH,Random Search,Combined,"sex, age",17,0.02,63.04299807548523
DUTCH,Random Search,Combined,"sex, age",18,0.014,63.2509331703186
DUTCH,Random Search,Combined,"sex, age",19,0.013,65.64468932151794
DUTCH,Random Search,Combined,"sex, age",20,0.017,64.33230209350586
DUTCH,Random Search,Combined,"sex, age",21,0.013,62.720571994781494
DUTCH,Random Search,Combined,"sex, age",22,0.015,64.13709425926208
DUTCH,Random Search,Combined,"sex, age",23,0.017,62.699315786361694
DUTCH,Random Search,Combined,"sex, age",24,0.019,62.72827386856079
DUTCH,Random Search,Combined,"sex, age",25,0.018,63.15778303146362
DUTCH,Random Search,Combined,"sex, age",26,0.008,63.1565887928009
DUTCH,Random Search,Combined,"sex, age",27,0.012,65.46306204795837
DUTCH,Random Search,Combined,"sex, age",28,0.011,64.4689769744873
DUTCH,Random Search,Combined,"sex, age",29,0.011,65.42891120910645
DUTCH,Random Search,Combined,"sex, age",30,0.014,63.79874300956726
DUTCH,GA+Local Search,Combined,"sex, age",1,0.245,63.68352699279785
DUTCH,GA+Local Search,Combined,"sex, age",2,0.277,63.896121978759766
DUTCH,GA+Local Search,Combined,"sex, age",3,0.248,63.747230052948
DUTCH,GA+Local Search,Combined,"sex, age",4,0.245,64.21314883232117
DUTCH,GA+Local Search,Combined,"sex, age",5,0.236,63.65553689002991
DUTCH,GA+Local Search,Combined,"sex, age",6,0.267,63.86053824424744
DUTCH,GA+Local Search,Combined,"sex, age",7,0.343,63.65113615989685
DUTCH,GA+Local Search,Combined,"sex, age",8,0.285,64.65179300308228
DUTCH,GA+Local Search,Combined,"sex, age",9,0.23,64.57912492752075
DUTCH,GA+Local Search,Combined,"sex, age",10,0.229,64.09195399284363
